proverb,meaning,used,index
een pleister op de wonde leggen,iets troostends aanbieden,,412
weten waar men aan toe is,weten wat men te verwachten heeft,,413
een kind van zijn tijd,iemand die leeft volgens de in zijn tijd heersende opvattingen,,414
aan zijn eindje vasthouden,zijn standpunt handhaven,,415
het ei van Columbus,de (slimme) oplossing,,416
hij is van zijn paard gevallen,hij heeft zijn positie verloren,,417
"Een paard dat eens op hol is geslagen, kan dat snel weer doen. ","Een eens gemaakte fout, begaat men makkelijk weer",,418
kop over bol,ondoordacht snel,,419
geld ruiken,merken dat er iets te verdienen is,,420
het wel kunnen schudden,het wel kunnen vergeten,,421
met tak en wortel uitroeien,geheel uitroeien,,422
de lakens uitdelen,"het voor het zeggen hebben, de baas spelen",,423
iemand laten barsten,"iemand helemaal niet helpen, aan zijn lot overlaten",,424
goede sier maken,er (overdreven) goed van leven / goed overkomen bij anderen,,425
"als je alles van tevoren weet, ga je liggen voor je valt",het heeft geen zin zich na afloop te beklagen over gebrek aan voorkennis. (Meestal in antwoord op klachten als `Als ik dat van tevoren geweten had.`),,426
zijn eigen nest bevuilen,zijn eigen omgeving nadeel berokkenen,,427
een brok in de keel krijgen,emotioneel aangedaan zijn,,428
niet kunnen hebben,niet kunnen verdragen,,429
hij kan een potje bij hen breken,van hem wordt veel getolereerd,,430
het beste paard van stal,de belangrijkste persoon in het gezelschap,,431
het takje buigen als het nog jong is,goede gewoonten leert men het beste op jonge leeftijd aan,,432
zonder geluk vaart niemand wel,"alleen met hard werken komt men er niet, ook een beetje geluk is nodig om ergens te komen",,433
pap in de benen hebben,de benen willen niet meer vooruit,,434
harde noten kraken,moeilijke tijden moeten doormaken,,435
de kolf naar de bal werpen,het opgeven,,436
men moet de snaren niet te sterk spannen,"je moet niet al te streng zijn, niet al te veel eisen",,437
iemand iets voor de voeten werpen,iemand beschuldigen van iets,,438
nattevingerwerk zijn / Met de natte vinger doen,"onnauwkeurig, overhaast of zonder de geschikte methode of middelen uitgevoerd werk",,439
als een stier balen,er een gloeiende hekel aan hebben,,440
een witte raaf,"iets wat zelden voorkomt, een zeldzaamheid",,441
iets beneden zijn waardigheid achten,iets niet willen doen omdat men vindt dat men een betere taak waard is,,442
ergens zijn pink wel voor willen geven,iets heel graag willen hebben,,443
aan elkaar hangen als droog zand,geen enkele samenhang vertonen,,444
wat van apen komt wil luizen,zijn afkomst kan men niet verloochenen,,445
de hand over zijn hart strijken,,,446
Veel noten op je zang hebben,Veel eisen hebben,,447
een zondagskind,iemand die steeds geluk heeft,,448
zo vrij als een vogeltje in de lucht,alles kunnen doen en laten wat iemand wil,,449
branden als een fakkel,zeer fel branden,,450
aan de fep zijn,(overmatig) drinken,,451
onder de voet raken,vallen,,452
Zo sterk als een paard. ,Heel sterk zijn,,453
dat smaakt naar meer,"meer van dat, graag!",,454
dat maakt van Jezus nog een ketter,dat is zelfs bij de meest integer mens een schanddaad,,455
zachte heelmeesters maken stinkende wonden,sommige problemen kunnen niet met zachtheid opgelost worden,,456
hals over kop.,ondoordacht snel.,,457
bij de neus hebben,iets wijsmaken,,458
aan bacchus offeren,veel drinken,,459
kort aangebonden,"weinig zeggend, onvriendelijk",,460
elke bos stro waait voor de wind.,onder makkelijke omstandigheden kan iedereen welvaren of iets uitvoeren.,,461
altijd het oude liedje,steeds weer hetzelfde,,462
"als de dagen (gaan) lengen, gaat/gaan de vorst/winter/nachten strengen.",het koudste deel van de winter valt na de kortste dag.,,463
het is nog ver van zingen,het is nog lang niet in orde,,464
de nieuwe mens aandoen,zijn gewoonten en zeden verbeteren,,465
dat is Latijn voor mij,dat begrijp ik niet,,466
tegen de muur zetten,doodschieten,,467
alle havens schutten wind,als je meedoet deel je mee in de winsten,,468
geen teken van leven meer geven,niets meer van zich laten horen,,469
in de fuik zijn,verloofd of getrouwd,,470
een gat in de lucht springen,ongeremd enthousiast zijn,,471
het smelt als boter in de mond,(van eten) het is erg mals,,472
de steven wenden,op een andere manier de dingen gaan aanpakken,,473
buurmans gras is altijd groener.,bij anderen lijkt het altijd beter (omdat men daar de interne problemen niet van kent).,,474
iemand over de hekel halen,allerlei slechte dingen vertellen over iemand,,475
in de slappe was,in de contanten,,476
het glaasje op zijn kant zetten,het glas uitdrinken,,477
uit de duim zuigen,iets verzinnen,,478
als een pijl uit de boog (zijn),snel vertrekken,,479
de deur dicht doen / Dat doet de deur dicht,iets bereikt de grens van wat acceptabel is,,480
er is geen olie meer in de lamp,"er is niets meer over , hij is uitgeput of op sterven na dood",,481
weten wat de klok slaat,weten hoe laat het is,,482
een schurftig schaap steekt de hele kudde aan,"een slechte persoon in een groep, maakt de hele groep slecht",,483
te grabbel gooien,"zomaar weggooien, opofferen",,484
in de pekel,in de penarie,,485
een Babylonische spraakverwarring,door elkaar spreken zonder naar elkaar te luisteren en elkaar niet verstaan,,486
iets naar zijn hand zetten,het precies (laten) doen zoals hij wil,,487
achter de coulissen kijken,de echte toestand zien (ontdekken),,488
"wie een kluitje heeft, heeft  er graag een turfje bij",ieder probeert zijn bezittingen te vermeerderen,,489
onder vier ogen,waarbij slechts twee personen aanwezig zijn,,490
over de tong gaan,het onderwerp van gesprek zijn,,491
elke dag heeft genoeg aan zijn eigen kwaad,men moet zich niet zorgen maken over de toekomst,,492
een slaapmutsje nemen,een borreltje nemen voor het slapen gaan,,493
naar iemands pijpen dansen,(onderdanig) alles doen wat iemand vraagt,,494
zijn botten kunnen tellen,erg mager zijn,,495
zich in de eigen voet schieten,zichzelf benadelen.,,496
zo 'n vaart niet lopen,niet zo erg zijn als het lijkt,,497
ergens voor in de wieg gelegd zijn,er zeer geschikt voor zijn,,498
aan iemands leiband,door iemand geleid,,499
men hoeft geen luizen in de pels te poten,men moet niemand last berokkenen,,500
iemand het zwijgen opleggen,er met niemand over mogen praten en nieman diets mogen vertellen,,501
op stoom komen,een goed tempo bereiken,,502
naar de bekende weg vragen,vragen naar hetgeen men al weet / Overbodig handelen.,,503
zeeën van tijd hebben,ergens erg veel tijd voor hebben,,504
zo glad als boter,erg glad - moeilijk te pakken te krijgen,,505
met een sisser aflopen,"probleem leek heel groot, maar viel uiteindelijk reuze mee",,506
een open oog voor iets hebben,voor iets open staan,,507
Vrouwenhanden en paardentanden staan nooit stil. ,Een vrouw is altijd wel wat aan het doen,,508
zij hebben een te grote broek aangetrokken,"die organisatie heeft een doel op zich genomen waarvoor ze niet de benodigde capaciteiten, financiële middelen en/of invloed heeft",,509
per accidens,per toeval,,510
hij speelt aap wat heb je mooie jongen,hij is overdreven vriendelijk,,511
ergens een gooi naar doen,een kans wagen of iets proberen te raden,,512
rust noch duur hebben,erg onrustig zijn,,513
uit de doppen kijken,goed uitkijken,,514
voor het inkoppen hebben,een eenvoudige kans om in een discussie een punt te maken dankzij een voorzet van een ander,,515
ogen van achteren en van voren hebben,alles goed in de gaten houden,,516
oogkleppen dragen,iets niet (willen) zien,,517
oude wijn in nieuwe zakken,"de zaken zijn anders gepresenteerd, maar niet wezenlijk veranderd",,518
als de kat om de hete brij heen draaien,"iets wel willen, maar het niet durven",,519
een keer nemen,"een wending nemen, veranderen",,520
op straat staan/zitten,ontslagen zijn - geen onderdak meer hebben,,521
ad hoc negotium,tot deze zaak behorend,,522
"zachtjes aan, dan breekt het lijntje niet","handel voorzichtig, dan mislukt het niet",,523
de kam opzetten,"zich verweren, zich tonen",,524
De omgekeerde wereld,Het tegenovergestelde van wat normaal en logisch is,,525
jan gat,onhandige sukkel,,526
iemand iets diets maken,iemand iets wijs maken,,527
een zwarte kat krabt niet,je moet je niet laten leiden door je angsten,,528
aan het verkeerde kantoor zijn,iemand die je niet kan helpen,,529
de draak met iets steken,ergens niets van geloven en er grapjes over maken,,530
er schuilt een addertje onder het gras,er is een verborgen risico in het spel,,531
de draad van Ariadne,middel om klaarheid te scheppen in een ingewikkeld iets,,532
glashard liegen,liegen zonder er iets van in zijn houding te laten merken,,533
scheepjes met zuren appelen,wolkjes die regen of storm voorspellen,,534
als het kind maar een naam heeft,"passend of niet, je moet het kunnen noemen (een naam geven)",,535
ergens oog voor hebben,ergens de waarde van inzien of aandacht voor hebben,,536
"zo lang er leven is, is er hoop","hoe slecht het ook staat, zolang nog niet alles verloren is, kan alles nog goed komen",,537
het kan er mee door,"het gaat wel, het is aanvaardbaar",,538
de steel naar de bijl werpen,de zaak opgeven,,539
leven als een vis in het water,totaal tevreden en onbekommerd leven,,540
een gehuurd paard en eigen sporen maken korte mijlen,eigen bezit beschadigt men minder dan gekregen of gehuurd bezit,,541
de spits afbijten,als eerste beginnen met iets (moeilijks),,542
achter de broek zitten,opjagen,,543
zijn ogen zijn groter dan zijn maag,hij neemt meer op zijn bord dan hij kan eten,,544
"die het grootste hoofd heeft, moet de grootste hoed hebben.","iemand die het recht heeft op het grootste deel, moet dat ook krijgen.",,545
daar geboren en getogen.,daar geboren en opgegroeid,,546
van leer trekken,"beginnen met vechten, duidelijk laten merken dat iets als vervelend ervaren wordt",,547
de dienst uitmaken,vertellen wat er gebeuren moet,,548
geen vlees zonder been,niets zonder gebreken,,549
bepakt en bezakt zijn,met veel bagage of zo veel als iemand maar kan meenemen,,550
je laatste hemd aan hebben,je hebt iets fout gedaan en er zal wat voor je zwaaien.,,551
als de herder verdwaalt dolen de schapen.,als de leider het verkeerd doet weten de mensen die hem volgen niet wat ze doen moeten,,552
van aver tot aver,van ouder tot ouder,,553
doorslaan als een blinde vink,hoogst onlogisch redeneren,,554
olie drijft boven,de waarheid komt aan het licht,,555
kind noch kraai hebben,"geen nazaten of andere familieleden hebben, alleen rekening moeten houden met zichzelf",,556
zijn ogen uitkijken,erg verbaasd of nieuwsgierig staan kijken,,557
de balans opmaken,kijken hoe iets verlopen is; nagaan of je ergens voordeel of nadeel van hebt gehad,,558
het stuur kwijt zijn,de controle verloren hebben,,559
men moet de dag niet prijzen voor het avond is,pas als alles gedaan is kun je zeggen of het goed ging,,560
het kruis nageven,hopen dat hij vooral nooit meer weerkomt,,561
op fluweel zitten,het erg goed en gemakkelijk hebben,,562
Het is sop en gekookt eten.,Het is hetzelfde.,,563
werken als een paard,zeer hard werken,,564
dat was op het nippertje,dat is maar net gelukt.,,565
om van te kotsen,"erg lelijk, absoluut onplezierig",,566
over de rooie gaan,de perken te buiten gaan,,567
aan alles een kleurtje weten te geven,voor alles wel een uitleg weten,,568
hij kan praten als Brugman,hij kan makkelijk met veel woorden een min of meer overtuigend verhaal afsteken.,,569
niet voor de poes zijn,niet gemakkelijk zijn,,570
er geen touw aan kunnen vastknopen,er niets van begrijpen,,571
het geld regeert de wereld,geld heeft grote invloed.,,572
een doekje voor het bloeden (zijn),"een ontoereikende, slechts symbolische maatregel of, een smoesje zijn, niet de waarheid",,573
jantje lacht en jantje huilt,kind dat vaak huilt maar direct ook weer lacht,,574
zich de haren uit het hoofd trekken,enorm veel spijt hebben,,575
iemand een pluim op zijn hoed steken,iemand complimenteren,,576
de troffel in de kalkbak gooien,zijn beroep opgeven en van zijn rente gaan leven,,577
aan het lijntje hebben/houden,"aan de praat houden /  beloven, maar steeds weer uitstellen",,578
elk huisje heeft z'n kruisje,ieder gezin heeft eigen zorgen en problemen,,579
al vaak met dat bijltje gehakt hebben,het werk al vaker gedaan hebben en weten hoe het moet,,580
alle hout is geen timmerhout,niet iedereen beschikt over dezelfde kwaliteiten / niet alles is van voldoende kwaliteit,,581
met kromme tenen zitten,zich ergeren,,582
van zijn stuk raken,onzeker worden en niet meer weten wat te zeggen,,583
over de doden niets dan goeds,"men ziet kwaadspreken over overledenen als iets heel onbeleefd, er mag niet gespot worden met de dood",,584
iemand blij maken met een dode mus,"iemand iets goeds in het vooruitzicht stellen, dat uiteindelijk waardeloos zal blijken te zijn",,585
ergens bekaaid (van) afkomen,een te lage prijs ervoor krijgen,,586
zo arm als een kerkmuis/kerkrat,straatarm,,587
de bazuin steken,de lof verkondigen,,588
"zo de wind waait, waait zijn jasje","iemand zonder principes, die zonder eigen mening anderen naar de mond praat",,589
iemand klein krijgen,"iemand laten merken dat je hem aankunt, over iemand de baas zijn en diegene tot gehoorzaamheid dwingen",,590
schoon schip maken,"schulden betalen, de boel opruimen, na ruzie/problemen samen er uit komen en het verleden laten rusten",,591
nakaarten heeft geen zin,men moet niet doorgaan met zeuren over iets dat al geweest is,,592
de tafel eer aandoen,goed en veel eten,,593
uit de kluiten gewassen zijn,erg stevig en groot zijn,,594
zonder slag of stoot,zonder het minste probleem,,595
doekje voor het bloeden,"een schrale troost, of een ontoereikende, slechts symbolische maatregel",,596
er Spaans aan toe gaan,erg wild en rumoerig aan toe gaan,,597
Daar steekt meer in dan een enkele panharing,Daar zit meer achter,,598
beter een half ei dan een lege dop,beter iets dan helemaal niets,,599
de vuile was buiten hangen,over onaangename zaken spreken met buitenstaanders,,600
een voetveeg zijn,iemand zijn die voor minderwaardige klusjes gebruikt wordt,,601
iets op je lever hebben,"dat je nog iets wilt uiten, dat er iets is dat je heel erg dwars zit en dat gezegd moet worden",,602
iets tussen neus en lippen zeggen,zonder dat je het merkt in het geheel iets zeggen,,603
zijn schaapjes geschoren hebben,van zijn rente kunnen leven,,604
De admiraal heeft geschoten.,De gastheer heeft het sein gegeven te gaan eten.,,605
er de dood in de pot zijn,niets te beleven zijn,,606
zijn woorden op een goudschaaltje wegen,uiterst weloverwogen spreken,,607
grijze haren zijn kerkhofsbloemen,"als je grijze haren krijgt, ben je niet zo ver van het kerkhof",,608
de olie in de lamp is op.,het geld is op,,609
tegen iets aan gooien,aan iets besteden,,610
"eén rotte appel in de mand, maakt al het gave fruit te schand.","als één persoon uit een groep zich misdraagt, wordt de hele groep erop aangekeken. / een negatieve beïnvloeding van één persoon kan vele anderen op het slechte pad brengen.",,611
niet geschoten is altijd mis.,"als je het niet probeert, komt er ook niks van",,612
de boot afhouden,niet meedoen - afwachten,,613
iemand de oren afzagen,steeds blijven aandringen,,614
de ogen luiken,sterven,,615
de rechte man op de rechte plaats,de juiste man voor de juiste taak,,616
